0.0043	0	0	0	0	0	0	0	0	0	6.7993	-1.7191	6.8593
0	0	-0	-0	0.2108	0.1856	-0.2848	-0	0	-0	-0.0878	-0.032	-0.3889
0	-0.0314	0.7267	0.0592	0.2675	0.0106	-0.1199	-0.0481	0.9335	0.0503	0.4616	0.0167	-0.3478
0.005	-0.0301	0.7312	0.0584	0.2676	0.01	-0.1195	-0.0442	0.9042	0.0523	0.4643	0.0173	-0.3454
0.01	-0.0251	0.723	0.0554	0.2683	0.0087	-0.1184	-0.0375	0.872	0.0592	0.4698	0.0187	-0.34
0.015	-0.019	0.7025	0.0514	0.2696	0.0071	-0.1163	-0.03	0.8366	0.0666	0.4778	0.02	-0.3316
0.02	-0.0139	0.674	0.0473	0.2716	0.0058	-0.113	-0.0234	0.7951	0.0706	0.4877	0.0206	-0.3203
0.025	-0.0106	0.6388	0.0434	0.2742	0.005	-0.1083	-0.0185	0.7486	0.0691	0.4991	0.0202	-0.3059
0.03	-0.0089	0.5972	0.0394	0.2772	0.0046	-0.1021	-0.0152	0.698	0.0622	0.5115	0.0187	-0.2887
0.035	-0.008	0.5498	0.035	0.2806	0.0046	-0.0945	-0.0128	0.6433	0.0512	0.5246	0.0165	-0.2685
0.04	-0.0072	0.4969	0.0301	0.2842	0.0045	-0.0857	-0.0107	0.5835	0.0388	0.5379	0.0139	-0.2453
0.045	-0.006	0.4391	0.0248	0.2876	0.0043	-0.076	-0.0083	0.5178	0.0271	0.5511	0.0112	-0.2191
0.05	-0.0045	0.3768	0.0194	0.2909	0.0038	-0.0655	-0.0059	0.4458	0.0179	0.5638	0.0087	-0.1899
0.055	-0.0028	0.3108	0.014	0.2938	0.0029	-0.0543	-0.0036	0.3681	0.0115	0.5752	0.0063	-0.158
0.06	-0.0014	0.2417	0.0088	0.2962	0.0019	-0.0425	-0.0017	0.2858	0.0073	0.585	0.0041	-0.1237
0.065	-0.0003	0.1704	0.0038	0.2981	0.0007	-0.0302	-0.0005	0.2004	0.0039	0.5925	0.0018	-0.0876
0.07	0.0001	0.0976	-0.0013	0.2994	-0.0005	-0.0175	0.0001	0.1137	0.0002	0.5976	-0.0005	-0.0503
0.075	0.0001	0.0241	-0.0064	0.3	-0.0015	-0.0044	0.0001	0.027	-0.0047	0.5998	-0.0031	-0.0123
0.08	-0.0004	-0.0494	-0.0117	0.2998	-0.0025	0.0087	-0.0005	-0.0588	-0.0108	0.5993	-0.0058	0.0256
0.085	-0.0012	-0.1223	-0.0171	0.299	-0.0033	0.0218	-0.0015	-0.1431	-0.0179	0.5961	-0.0086	0.063
