rowLabel,gravity,mid_wrench,tip_wrench,seg1_s01,seg1_s02,seg1_s03,seg1_s04,seg1_s05,seg1_s06,seg1_s07,seg2_s01,seg2_s02,seg2_s03,seg2_s04,seg2_s05,seg2_s06,seg2_s07
arclength,0,0.06,0.3,0,0.0469,0.2308,0.5,0.7692,0.9531,1,0,0.0469,0.2308,0.5,0.7692,0.9531,1
EulX_s001,0,-0.058,0.0466,-0,0.0006,0.0129,0.0453,0.0773,0.0922,0.0947,0.0947,0.1022,0.129,0.1598,0.1793,0.1861,0.1871
EulY_s001,0,0.0069,0.0112,0,-0.0296,-0.1317,-0.2415,-0.3087,-0.3338,-0.3378,-0.3378,-0.3494,-0.3897,-0.4349,-0.4647,-0.4764,-0.4782
EulZ_s001,0,-0.0138,-0.0361,-0,0.043,0.1948,0.3707,0.4894,0.5353,0.5423,0.5423,0.5482,0.5606,0.549,0.5045,0.4569,0.4427
Px_s001,-3.9137,-0.1644,-0.1519,0,0.0094,0.0457,0.0963,0.1432,0.1736,0.1812,0.1812,0.1888,0.2179,0.2597,0.3015,0.3306,0.3381
Py_s001,8.3341,0.2252,0.2078,0,0.0002,0.0046,0.0196,0.0414,0.0585,0.0631,0.0631,0.0677,0.0856,0.1111,0.1345,0.1486,0.1518
Pz_s001,3.3855,0.1107,0.154,0,0.0001,0.0032,0.0134,0.0281,0.0398,0.0429,0.0429,0.0461,0.0595,0.0818,0.1064,0.124,0.1286
EulX_s002,0,-0.0507,-0.0293,-0,-0,-0.002,-0.0142,-0.0417,-0.0702,-0.0787,-0.0787,-0.081,-0.0924,-0.1166,-0.1501,-0.1784,-0.1864
EulY_s002,0,0.0321,0.0226,0,0.0025,0.0211,0.0711,0.143,0.2019,0.218,0.218,0.2221,0.2412,0.2762,0.3176,0.3483,0.3563
EulZ_s002,0,-0.001,0.0473,-0,0.0346,0.1572,0.3025,0.4129,0.472,0.4853,0.4853,0.4993,0.5515,0.6229,0.6925,0.7414,0.7543
Px_s002,-5.3162,0.1981,0.2522,0,0.0094,0.046,0.0982,0.1483,0.181,0.1892,0.1892,0.1972,0.2282,0.2715,0.3123,0.3385,0.3449
Py_s002,3.8733,0.2251,0.1537,0,0.0002,0.0037,0.0161,0.035,0.0504,0.0546,0.0546,0.0588,0.0766,0.1051,0.1361,0.1584,0.1643
Pz_s002,7.2782,-0.0099,-0.0527,0,-0,-0.0004,-0.0028,-0.0086,-0.0151,-0.0172,-0.0172,-0.0193,-0.0282,-0.0427,-0.0593,-0.0722,-0.0757
EulX_s003,0,0.0292,-0.0302,-0,-0,-0.0001,0.0002,0.001,0.0012,0.0012,0.0012,0.0012,0.0015,0.0021,0.0029,0.0031,0.003
EulY_s003,0,-0.031,0.0053,0,0.0013,0.0039,-0.0002,-0.0153,-0.0328,-0.0383,-0.0383,-0.0357,-0.0263,-0.0149,-0.008,-0.0068,-0.0069
EulZ_s003,0,-0.0423,-0.0516,-0,0.0127,0.0488,0.0639,0.0365,-0.0053,-0.0189,-0.0189,-0.0216,-0.0386,-0.0801,-0.1396,-0.1894,-0.2032
Px_s003,6.4361,0.1249,0.274,0,0.0094,0.0461,0.0999,0.1536,0.1904,0.1998,0.1998,0.2091,0.2459,0.2996,0.3531,0.3894,0.3986
Py_s003,6.9519,0.2225,0.1147,0,0.0001,0.0013,0.0045,0.0074,0.008,0.0079,0.0079,0.0077,0.0066,0.0035,-0.0023,-0.0083,-0.0102
Pz_s003,2.5462,-0.1577,-0.0418,0,-0,-0.0001,-0.0003,0.0001,0.001,0.0013,0.0013,0.0016,0.0028,0.0039,0.0044,0.0047,0.0047
EulX_s004,0,0.0132,-0.054,-0,-0.0004,-0.0084,-0.0354,-0.0766,-0.1115,-0.1212,-0.1212,-0.1261,-0.1446,-0.1697,-0.1929,-0.2076,-0.2112
EulY_s004,0,0.0402,0.0126,0,0.0287,0.1351,0.2736,0.3933,0.4654,0.4827,0.4827,0.4911,0.5222,0.5637,0.603,0.63,0.6369
EulZ_s004,0,0.0426,-0.023,-0,0.0261,0.1233,0.2541,0.3748,0.4528,0.4721,0.4721,0.4757,0.4823,0.4711,0.4367,0.4007,0.39
Px_s004,-6.1058,0.2502,-0.1888,0,0.0094,0.0459,0.0976,0.1459,0.1765,0.1839,0.1839,0.1913,0.2198,0.2607,0.3011,0.3285,0.3355
Py_s004,1.1918,-0.0238,0.1524,0,0.0001,0.0029,0.0128,0.0285,0.0419,0.0456,0.0456,0.0494,0.0641,0.0847,0.1032,0.114,0.1165
Pz_s004,-7.5852,-0.1639,0.1764,0,-0.0001,-0.0032,-0.0142,-0.0319,-0.0472,-0.0515,-0.0515,-0.0559,-0.0739,-0.1022,-0.1327,-0.1547,-0.1604
EulX_s005,0,-0.0029,-0.025,-0,-0.0006,-0.0139,-0.0577,-0.1202,-0.168,-0.1805,-0.1805,-0.1839,-0.202,-0.242,-0.2984,-0.3464,-0.3599
EulY_s005,0,0.05,0.0392,0,0.0238,0.1113,0.2198,0.3021,0.3435,0.3523,0.3523,0.3546,0.3651,0.3836,0.403,0.4157,0.4187
EulZ_s005,0,0.0331,0.038,-0,0.0521,0.2476,0.5121,0.7545,0.9073,0.9445,0.9445,0.9676,1.0521,1.1618,1.2591,1.3206,1.3358
Px_s005,0.9841,-0.2024,-0.0534,0,0.0094,0.0456,0.0947,0.1364,0.1599,0.1652,0.1652,0.1703,0.1886,0.2109,0.2284,0.2378,0.2398
Py_s005,9.497,-0.1522,0.2713,0,0.0002,0.0057,0.0254,0.0562,0.0819,0.089,0.089,0.0962,0.1254,0.1705,0.2172,0.2494,0.2576
Pz_s005,2.2526,-0.1608,0.1164,0,-0.0001,-0.0026,-0.0116,-0.0256,-0.0373,-0.0405,-0.0405,-0.0437,-0.0564,-0.0755,-0.0959,-0.1109,-0.1149
EulX_s006,0,-0.033,-0.0418,-0,-0.0001,-0.0015,-0.0043,-0.0047,-0.0023,-0.0012,-0.0012,-0.0008,0.0005,0.0004,-0.0026,-0.0064,-0.0076
EulY_s006,0,-0.0501,0.0333,0,-0.0329,-0.1543,-0.3123,-0.4501,-0.5345,-0.555,-0.555,-0.5615,-0.5782,-0.5785,-0.5519,-0.5195,-0.5094
EulZ_s006,0,-0.0011,-0.0273,-0,-0.005,-0.0168,-0.0136,0.0119,0.0413,0.0503,0.0503,0.0547,0.0711,0.0903,0.0999,0.0993,0.098
Px_s006,5.2766,0.2622,-0.1633,0,0.0094,0.046,0.0983,0.1482,0.1805,0.1886,0.1886,0.1965,0.2274,0.2723,0.3175,0.3489,0.357
Py_s006,-3.4222,-0.0693,0.1205,0,-0,-0.0005,-0.0013,-0.0014,-0.0004,0.0001,0.0001,0.0006,0.0029,0.0072,0.0124,0.0162,0.0171
Pz_s006,7.5288,-0.1282,0.2209,0,0.0002,0.0036,0.0162,0.0363,0.0536,0.0585,0.0585,0.0635,0.0833,0.1127,0.1415,0.1602,0.1648
EulX_s007,0,-0.0371,-0.0218,-0,0.0001,0.0014,0.0055,0.0113,0.0161,0.0174,0.0174,0.0182,0.0218,0.0277,0.0339,0.038,0.0389
EulY_s007,0,0.0177,0.0424,0,0.0075,0.0345,0.0712,0.1118,0.1459,0.1558,0.1558,0.1624,0.1895,0.2333,0.2843,0.3246,0.3356
EulZ_s007,0,0.0437,0.0364,-0,-0.0188,-0.0796,-0.1324,-0.1443,-0.1301,-0.1236,-0.1236,-0.1265,-0.1324,-0.1268,-0.106,-0.0841,-0.0776
Px_s007,6.221,0.0239,-0.1882,0,0.0094,0.0461,0.0995,0.1526,0.1887,0.1979,0.1979,0.2071,0.243,0.2952,0.3469,0.3818,0.3907
Py_s007,-3.9445,-0.2777,-0.1647,0,-0.0001,-0.002,-0.0078,-0.0154,-0.0204,-0.0216,-0.0216,-0.0227,-0.0274,-0.0341,-0.04,-0.0431,-0.0438
Pz_s007,-6.4789,0.111,0.1657,0,-0,-0.0008,-0.0037,-0.0086,-0.0133,-0.0147,-0.0147,-0.0162,-0.0227,-0.034,-0.0479,-0.0589,-0.062
EulX_s008,0,-0.0596,0.0245,-0,-0,-0.0001,-0,0.0003,0.0004,0.0003,0.0003,0.0007,0.0031,0.0102,0.0236,0.0379,0.0424
EulY_s008,0,-0.0067,0.0409,0,0.0068,0.0291,0.0509,0.061,0.0618,0.0613,0.0613,0.0646,0.0801,0.1128,0.1598,0.2014,0.2134
EulZ_s008,0,0.0023,-0.0364,-0,0.0024,0.0036,-0.0169,-0.0614,-0.1043,-0.1168,-0.1168,-0.1292,-0.1767,-0.2429,-0.3045,-0.3441,-0.3539
Px_s008,-5.3919,0.0173,0.1695,0,0.0094,0.0461,0.0999,0.1537,0.1902,0.1995,0.1995,0.2088,0.2451,0.2975,0.3488,0.3831,0.3918
Py_s008,4.7459,0.2652,-0.1282,0,0,0.0002,-0.0001,-0.0021,-0.0051,-0.0061,-0.0061,-0.0073,-0.0129,-0.0241,-0.0385,-0.0501,-0.0532
Pz_s008,-6.6813,-0.1392,0.2117,0,-0,-0.0007,-0.0029,-0.006,-0.0082,-0.0088,-0.0088,-0.0094,-0.012,-0.0171,-0.0243,-0.0309,-0.0329
EulX_s009,0,0.0367,0.0077,-0,0.0002,0.0048,0.018,0.0328,0.0408,0.0424,0.0424,0.0422,0.0406,0.0346,0.0227,0.0105,0.0068
EulY_s009,0,-0.0341,0.0538,0,-0.0306,-0.1433,-0.2847,-0.3927,-0.4443,-0.4544,-0.4544,-0.4534,-0.4451,-0.4191,-0.3748,-0.3333,-0.3212
EulZ_s009,0,-0.033,0.0254,-0,0.0149,0.0647,0.1145,0.1387,0.1406,0.1392,0.1392,0.1488,0.1831,0.2249,0.2585,0.2779,0.2826
Px_s009,-6.3351,-0.0695,-0.0684,0,0.0094,0.046,0.0983,0.1486,0.1818,0.1902,0.1902,0.1985,0.2312,0.279,0.3272,0.3604,0.369
Py_s009,1.72,0.0862,0.0665,0,0.0001,0.0016,0.0064,0.0128,0.0174,0.0185,0.0185,0.0197,0.0252,0.0353,0.0476,0.0571,0.0597
Pz_s009,-7.29,0.2788,0.2844,0,0.0001,0.0034,0.0149,0.033,0.048,0.0521,0.0521,0.0562,0.0722,0.0948,0.1154,0.1279,0.1308
EulX_s010,0,-0.0373,-0.0217,-0,0.0001,0.0013,0.0048,0.0091,0.0128,0.0139,0.0139,0.0128,0.0088,0.0039,0.0005,-0.0009,-0.0011
EulY_s010,0,-0.039,0.0046,0,-0.0059,-0.026,-0.0488,-0.0676,-0.0805,-0.084,-0.084,-0.0806,-0.0671,-0.0484,-0.032,-0.0229,-0.0209
EulZ_s010,0,0.0262,-0.0557,-0,0.0231,0.1034,0.1943,0.2584,0.2895,0.296,0.296,0.2936,0.2771,0.2341,0.1709,0.1176,0.1027
Px_s010,-6.7364,0.29,0.2143,0,0.0094,0.0461,0.0992,0.1516,0.1869,0.1958,0.1958,0.2048,0.24,0.2919,0.3446,0.381,0.3903
Py_s010,6.7966,0.0128,0.2088,0,0.0001,0.0025,0.0106,0.0228,0.0327,0.0354,0.0354,0.0381,0.0485,0.0622,0.0731,0.0784,0.0794
Pz_s010,2.1596,-0.0759,-0.0217,0,0,0.0006,0.0027,0.0058,0.0085,0.0093,0.0093,0.0101,0.0128,0.0159,0.018,0.019,0.0192
EulX_s011,0,0.0384,-0.0305,-0,-0.0004,-0.0085,-0.0363,-0.0793,-0.1155,-0.1256,-0.1256,-0.1358,-0.1773,-0.2428,-0.3158,-0.3711,-0.3861
EulY_s011,0,0.0194,0.0472,0,0.0237,0.1119,0.2269,0.325,0.3828,0.3964,0.3964,0.4095,0.4592,0.5271,0.5907,0.6324,0.6429
EulZ_s011,0,0.0418,0.0211,-0,0.0316,0.1515,0.3184,0.4788,0.586,0.6132,0.6132,0.6252,0.6716,0.7377,0.8036,0.8499,0.8621
Px_s011,-7.7484,0.2184,0.145,0,0.0094,0.0459,0.0974,0.145,0.1747,0.1819,0.1819,0.1889,0.2155,0.2516,0.2844,0.3048,0.3097
Py_s011,-4.9304,0.1811,0.2271,0,0.0001,0.0035,0.0159,0.036,0.0535,0.0584,0.0584,0.0634,0.0834,0.1134,0.1438,0.1645,0.1697
Pz_s011,3.4481,-0.0973,-0.1319,0,-0.0001,-0.0026,-0.0118,-0.0265,-0.0392,-0.0428,-0.0428,-0.0465,-0.0621,-0.0884,-0.1184,-0.1409,-0.147
EulX_s012,0,0.0215,-0.0106,-0,-0.0001,-0.0019,-0.0068,-0.0125,-0.0162,-0.017,-0.017,-0.0178,-0.0187,-0.0146,-0.0053,0.0029,0.0051
EulY_s012,0,0.003,-0.0192,0,-0.029,-0.1324,-0.2573,-0.3549,-0.4083,-0.4204,-0.4204,-0.433,-0.4801,-0.542,-0.5941,-0.6237,-0.6304
EulZ_s012,0,-0.0559,0.0559,-0,-0.0062,-0.0273,-0.0492,-0.0615,-0.0647,-0.0649,-0.0649,-0.0487,0.0141,0.1047,0.1945,0.2553,0.2707
Px_s012,9.3644,0.1389,0.0936,0,0.0094,0.046,0.0987,0.1499,0.184,0.1926,0.1926,0.2011,0.2341,0.2809,0.3257,0.3551,0.3625
Py_s012,-2.8929,-0.1824,0.0861,0,-0,-0.0007,-0.0027,-0.0056,-0.0077,-0.0083,-0.0083,-0.0087,-0.0091,-0.0054,0.0029,0.0111,0.0136
Pz_s012,-0.4191,0.1934,0.2717,0,0.0001,0.0031,0.0137,0.03,0.0437,0.0475,0.0475,0.0514,0.0676,0.0939,0.1225,0.143,0.1483
EulX_s013,0,0.0546,-0.0224,-0,0.0003,0.0081,0.0377,0.0884,0.134,0.1469,0.1469,0.1552,0.1918,0.2544,0.3242,0.373,0.3853
EulY_s013,0,-0.0249,-0.0406,0,-0.0347,-0.1714,-0.3676,-0.5498,-0.6612,-0.6876,-0.6876,-0.7035,-0.7613,-0.8327,-0.8884,-0.9178,-0.9243
EulZ_s013,0,-0.0017,0.0381,-0,0.0194,0.0928,0.1944,0.2921,0.3568,0.3729,0.3729,0.3951,0.4836,0.6175,0.7538,0.8457,0.8687
Px_s013,-2.09,-0.2959,-0.0341,0,0.0094,0.0459,0.0971,0.1439,0.1725,0.1793,0.1793,0.186,0.2107,0.2427,0.2699,0.2857,0.2894
Py_s013,-5.394,0.048,0.1504,0,0.0001,0.0021,0.0095,0.021,0.0305,0.0331,0.0331,0.0357,0.0472,0.0674,0.0911,0.109,0.1138
Pz_s013,-7.9229,0.0128,0.2573,0,0.0002,0.0039,0.0183,0.0422,0.0633,0.0691,0.0691,0.0752,0.0998,0.138,0.1781,0.206,0.2131
EulX_s014,0,0.0562,-0.0423,-0,-0.0001,-0.0033,-0.0143,-0.0301,-0.0421,-0.0451,-0.0451,-0.0532,-0.0881,-0.1464,-0.2104,-0.2556,-0.2671
EulY_s014,0,0.02,-0.0413,0,-0.0131,-0.0623,-0.127,-0.1805,-0.2096,-0.216,-0.216,-0.2322,-0.2951,-0.3832,-0.4653,-0.517,-0.5296
EulZ_s014,0,-0.0067,-0.0102,-0,-0.0222,-0.1073,-0.2276,-0.3453,-0.4253,-0.4457,-0.4457,-0.462,-0.5203,-0.5903,-0.6428,-0.6685,-0.6737
Px_s014,5.9299,0.0452,-0.0972,0,0.0094,0.046,0.0988,0.1498,0.1833,0.1916,0.1916,0.1998,0.2311,0.2742,0.3141,0.3398,0.3462
Py_s014,-4.5217,0.2724,-0.2482,0,-0.0001,-0.0025,-0.0114,-0.0265,-0.04,-0.0439,-0.0439,-0.0479,-0.0646,-0.0911,-0.1186,-0.1372,-0.1419
Pz_s014,-6.3739,0.1173,0.1376,0,0.0001,0.0015,0.0066,0.0149,0.022,0.024,0.024,0.026,0.0357,0.0541,0.0774,0.096,0.101
EulX_s015,0,-0.028,-0.0027,-0,-0.0002,-0.0048,-0.0198,-0.0421,-0.0605,-0.0655,-0.0655,-0.0672,-0.0745,-0.088,-0.1078,-0.1276,-0.1338
EulY_s015,0,0.0459,0.0499,0,0.0315,0.1485,0.302,0.4378,0.5222,0.5428,0.5428,0.5496,0.5774,0.6234,0.6797,0.7263,0.7394
EulZ_s015,0,0.0267,0.0332,-0,0.0138,0.0635,0.1255,0.1762,0.2049,0.2115,0.2115,0.2134,0.2245,0.2518,0.2938,0.3326,0.3441
Px_s015,-3.4377,-0.2123,0.286,0,0.0094,0.0459,0.0981,0.1477,0.1797,0.1876,0.1876,0.1954,0.2258,0.269,0.3103,0.337,0.3435
Py_s015,-2.1852,0.2031,-0.0623,0,0.0001,0.0015,0.0065,0.014,0.0201,0.0218,0.0218,0.0234,0.03,0.0402,0.0515,0.0601,0.0624
Pz_s015,-8.9243,-0.0606,0.0657,0,-0.0001,-0.0035,-0.0156,-0.0351,-0.0521,-0.0569,-0.0569,-0.0618,-0.0815,-0.1119,-0.1446,-0.1684,-0.1746
EulX_s016,0,-0.0374,0.0236,-0,-0,-0.0001,-0.0007,-0.0025,-0.0048,-0.0056,-0.0056,-0.0054,-0.0044,-0.0014,0.0047,0.0119,0.0142
EulY_s016,0,-0.0452,0.0334,0,-0.0019,-0.0146,-0.0467,-0.0927,-0.1309,-0.1414,-0.1414,-0.1389,-0.1268,-0.1012,-0.0639,-0.0305,-0.0209
EulZ_s016,0,-0.0126,-0.044,-0,-0.0014,-0.0094,-0.0277,-0.0513,-0.0693,-0.074,-0.074,-0.0769,-0.0939,-0.1339,-0.1888,-0.2333,-0.2454
Px_s016,5.3178,0.1168,-0.1834,0,0.0094,0.0462,0.1,0.1536,0.1901,0.1994,0.1994,0.2086,0.245,0.2981,0.3511,0.387,0.3961
Py_s016,5.2727,-0.2303,0.1569,0,-0,-0.0002,-0.0012,-0.0033,-0.0055,-0.0061,-0.0061,-0.0068,-0.0099,-0.0159,-0.0245,-0.0322,-0.0345
Pz_s016,-6.3368,-0.1527,0.1782,0,0,0.0003,0.0019,0.0056,0.0097,0.0109,0.0109,0.0122,0.0171,0.0233,0.0277,0.0294,0.0296
EulX_s017,0,-0.0339,0.0152,-0,0,0.0004,-0.0001,-0.0038,-0.0085,-0.01,-0.01,-0.0117,-0.0191,-0.0314,-0.0452,-0.0553,-0.0579
EulY_s017,0,-0.0124,0.0435,0,-0.0022,-0.0075,-0.0054,0.009,0.0265,0.0321,0.0321,0.0387,0.065,0.1059,0.1526,0.1894,0.1996
EulZ_s017,0,-0.0479,-0.0384,-0,0.0287,0.1255,0.2215,0.2634,0.2608,0.256,0.256,0.2636,0.2847,0.2922,0.2744,0.2493,0.2413
Px_s017,-8.3137,-0.1883,-0.0756,0,0.0094,0.046,0.099,0.1512,0.1867,0.1958,0.1958,0.2048,0.2402,0.2916,0.3428,0.3778,0.3867
Py_s017,3.6755,0.1834,0.2697,0,0.0001,0.003,0.0126,0.0257,0.0353,0.0377,0.0377,0.0401,0.0501,0.0654,0.0803,0.0895,0.0917
Pz_s017,-3.689,0.1446,0.1075,0,0,0.0002,0.0006,0.0005,-0.0001,-0.0004,-0.0004,-0.0008,-0.0027,-0.0075,-0.0147,-0.0212,-0.0231
EulX_s018,0,0.0457,-0.0106,-0,-0.0003,-0.0056,-0.023,-0.0463,-0.0616,-0.065,-0.065,-0.0722,-0.1025,-0.1518,-0.2074,-0.25,-0.2616
EulY_s018,0,0.0337,-0.0586,0,-0.0412,-0.1878,-0.3594,-0.4812,-0.537,-0.5478,-0.5478,-0.5695,-0.6489,-0.7513,-0.8414,-0.8982,-0.9123
EulZ_s018,0,0.0194,0.0075,-0,-0.0123,-0.0616,-0.1367,-0.2118,-0.2589,-0.27,-0.27,-0.2813,-0.3239,-0.381,-0.4326,-0.4657,-0.4741
Px_s018,-9.7085,0.0101,0.0678,0,0.0094,0.0458,0.0973,0.1456,0.1768,0.1845,0.1845,0.1922,0.2209,0.2595,0.2941,0.3154,0.3206
Py_s018,1.4074,-0.0169,-0.2253,0,-0.0001,-0.0014,-0.0065,-0.0151,-0.0227,-0.0249,-0.0249,-0.0271,-0.0363,-0.0506,-0.0653,-0.0751,-0.0775
Pz_s018,-0.0277,0.2994,0.1862,0,0.0002,0.0045,0.0192,0.0413,0.0593,0.0641,0.0641,0.069,0.09,0.1247,0.1633,0.1915,0.199
EulX_s019,0,0.0383,-0.0471,-0,-0.0002,-0.0039,-0.0154,-0.0299,-0.0393,-0.0414,-0.0414,-0.0459,-0.0641,-0.0916,-0.1179,-0.134,-0.1378
EulY_s019,0,0.0345,-0.0372,0,-0.028,-0.1291,-0.2529,-0.3484,-0.3978,-0.4084,-0.4084,-0.4295,-0.5071,-0.607,-0.6921,-0.7427,-0.7547
EulZ_s019,0,0.0306,0.0016,-0,-0.0129,-0.0606,-0.1209,-0.1656,-0.1839,-0.1867,-0.1867,-0.1937,-0.2173,-0.2388,-0.2407,-0.2284,-0.2233
Px_s019,1.7919,-0.2568,-0.1336,0,0.0094,0.046,0.0986,0.1494,0.1831,0.1916,0.1916,0.2,0.2321,0.2765,0.3181,0.3451,0.3518
Py_s019,7.1666,-0.1534,-0.254,0,-0.0001,-0.0014,-0.0063,-0.0137,-0.0196,-0.0212,-0.0212,-0.0228,-0.0294,-0.0395,-0.049,-0.0545,-0.0558
Pz_s019,6.4548,-0.0223,0.0873,0,0.0001,0.0031,0.0134,0.0295,0.0429,0.0466,0.0466,0.0504,0.0671,0.0957,0.1285,0.153,0.1594
EulX_s020,0,-0.0266,0.0343,-0,-0.0007,-0.017,-0.0787,-0.1878,-0.2911,-0.3212,-0.3212,-0.3363,-0.392,-0.4586,-0.5048,-0.5257,-0.5299
EulY_s020,0,0.0443,0.0357,0,0.0422,0.201,0.4104,0.5856,0.6814,0.7023,0.7023,0.7118,0.7406,0.7643,0.7743,0.7771,0.7775
EulZ_s020,0,0.0306,0.0339,-0,0.0342,0.1697,0.3817,0.6232,0.8104,0.8612,0.8612,0.8981,1.0346,1.2084,1.3508,1.4319,1.4508
Px_s020,-8.4508,0.1938,-0.1579,0,0.0094,0.0456,0.0949,0.1362,0.1585,0.1634,0.1634,0.1679,0.1835,0.2004,0.2114,0.2161,0.217
Py_s020,-0.5332,-0.1909,0.2258,0,0.0002,0.0038,0.0176,0.0402,0.0597,0.0651,0.0651,0.0707,0.094,0.1316,0.1723,0.2016,0.2092
Pz_s020,-4.9534,0.1265,-0.1186,0,-0.0002,-0.0047,-0.021,-0.0467,-0.0684,-0.0743,-0.0743,-0.0803,-0.1041,-0.1386,-0.1721,-0.1939,-0.1993
EulX_s021,0,0.053,0.0449,-0,0.0002,0.007,0.0407,0.1081,0.1728,0.1916,0.1916,0.1988,0.2321,0.2935,0.3679,0.4247,0.4398
EulY_s021,0,0.0236,0.0146,0,0.0087,0.0532,0.1392,0.2356,0.3002,0.3161,0.3161,0.3219,0.3454,0.3798,0.4118,0.4316,0.4364
EulZ_s021,0,-0.0155,-0.037,-0,-0.0502,-0.2383,-0.4873,-0.7026,-0.8286,-0.8578,-0.8578,-0.8821,-0.9714,-1.0852,-1.1784,-1.2296,-1.2409
Px_s021,-3.2805,-0.1437,-0.2164,0,0.0094,0.0457,0.0956,0.1392,0.1648,0.1707,0.1707,0.1764,0.1973,0.2232,0.2442,0.2562,0.259
Py_s021,6.053,-0.2394,-0.1928,0,-0.0002,-0.0056,-0.0246,-0.0542,-0.0785,-0.085,-0.085,-0.0917,-0.1189,-0.1609,-0.2042,-0.2338,-0.2413
Pz_s021,6.9882,-0.1098,0.0776,0,-0,-0.0011,-0.0063,-0.0167,-0.0272,-0.0303,-0.0303,-0.0335,-0.0469,-0.0683,-0.0924,-0.1106,-0.1155
EulX_s022,0,0.056,0.0498,-0,-0,-0.0005,-0.0018,-0.0022,-0.0005,0.0003,0.0003,0.0015,0.0071,0.0173,0.0295,0.0386,0.0409
EulY_s022,0,0.0139,-0.0135,0,0.0131,0.0555,0.092,0.0987,0.0867,0.0815,0.0815,0.0746,0.0457,-0.0001,-0.0465,-0.0767,-0.084
EulZ_s022,0,0.0165,0.0306,-0,0.0031,0.0203,0.0596,0.1135,0.1574,0.1694,0.1694,0.1759,0.201,0.2384,0.2776,0.3059,0.3134
Px_s022,4.3472,0.2229,-0.2421,0,0.0094,0.0461,0.0998,0.1532,0.1894,0.1987,0.1987,0.2079,0.2439,0.2965,0.3485,0.3836,0.3926
Py_s022,5.3946,-0.1212,-0.1569,0,0,0.0004,0.0025,0.0071,0.012,0.0136,0.0136,0.0152,0.0221,0.0338,0.0475,0.058,0.0608
Pz_s022,-6.9452,-0.16,0.0822,0,-0.0001,-0.0014,-0.0055,-0.0107,-0.0141,-0.0149,-0.0149,-0.0156,-0.0178,-0.0188,-0.0173,-0.0148,-0.0139
EulX_s023,0,-0.037,0.0041,-0,-0.0004,-0.0088,-0.0409,-0.0941,-0.1404,-0.1532,-0.1532,-0.1565,-0.1671,-0.1741,-0.1688,-0.1569,-0.1526
EulY_s023,0,-0.0277,0.04,0,-0.0145,-0.0738,-0.1634,-0.2498,-0.3044,-0.3177,-0.3177,-0.3209,-0.3307,-0.3366,-0.3329,-0.325,-0.3224
EulZ_s023,0,-0.0382,-0.0445,-0,-0.049,-0.2261,-0.4473,-0.6294,-0.7345,-0.759,-0.759,-0.7721,-0.8211,-0.8864,-0.9446,-0.9808,-0.9897
Px_s023,7.3865,-0.1984,-0.0295,0,0.0094,0.0457,0.096,0.1411,0.1685,0.1751,0.1751,0.1815,0.2058,0.2392,0.2702,0.29,0.295
Py_s023,-6.4484,-0.1953,-0.0938,0,-0.0002,-0.0053,-0.0231,-0.0501,-0.0722,-0.0782,-0.0782,-0.0843,-0.109,-0.147,-0.1872,-0.2159,-0.2234
Pz_s023,0.306,-0.1118,0.2834,0,0.0001,0.0017,0.0081,0.0194,0.0298,0.0328,0.0328,0.0359,0.0483,0.0667,0.0846,0.0962,0.0991
EulX_s024,0,0.0382,0.0061,-0,0.0003,0.0072,0.0288,0.0587,0.0818,0.0879,0.0879,0.0914,0.1044,0.1215,0.1364,0.1455,0.1477
EulY_s024,0,-0.0263,-0.044,0,-0.0297,-0.1413,-0.2921,-0.4301,-0.5185,-0.5405,-0.5405,-0.5531,-0.6015,-0.6701,-0.7386,-0.7867,-0.7993
EulZ_s024,0,0.0381,-0.0404,-0,0.0224,0.0973,0.175,0.2199,0.2339,0.2354,0.2354,0.2311,0.2124,0.1814,0.1477,0.1241,0.1181
Px_s024,-7.8894,0.1454,0.2337,0,0.0094,0.0459,0.0979,0.1472,0.1791,0.187,0.187,0.1948,0.2248,0.2673,0.3077,0.3341,0.3406
Py_s024,5.6583,0.249,0.0273,0,0.0001,0.0024,0.0096,0.0195,0.0266,0.0284,0.0284,0.0301,0.0363,0.0432,0.0475,0.0489,0.0491
Pz_s024,-1.4064,0.083,0.1862,0,0.0001,0.0033,0.0149,0.0341,0.051,0.0557,0.0557,0.0607,0.0809,0.1133,0.1485,0.1741,0.1809
EulX_s025,0,0.0424,-0.0208,-0,0,0.0009,0.0052,0.0147,0.025,0.0282,0.0282,0.0295,0.0359,0.0491,0.0661,0.0793,0.0827
EulY_s025,0,0.0423,0.0504,0,0.0066,0.0397,0.1079,0.1976,0.2703,0.2902,0.2902,0.2976,0.3298,0.3847,0.446,0.4901,0.5015
EulZ_s025,0,0.003,0.025,-0,-0.0085,-0.0403,-0.0832,-0.1234,-0.1505,-0.1575,-0.1575,-0.1674,-0.2015,-0.2376,-0.2574,-0.2613,-0.261
Px_s025,6.6385,0.2485,-0.1548,0,0.0094,0.0461,0.0997,0.1526,0.1881,0.197,0.197,0.2059,0.2402,0.2895,0.3372,0.3689,0.3769
Py_s025,0.1888,0.1648,-0.2484,0,-0,-0.0009,-0.0043,-0.0097,-0.0146,-0.016,-0.016,-0.0174,-0.0238,-0.0348,-0.0469,-0.0551,-0.0572
