rowLabel,gravity,mid_wrench,tip_wrench,seg1_s01,seg1_s02,seg1_s03,seg1_s04,seg1_s05,seg1_s06,seg1_s07,seg2_s01,seg2_s02,seg2_s03,seg2_s04,seg2_s05,seg2_s06,seg2_s07
EulZ_s394,0,-0.0347,-0.031,-0,-0.0588,-0.2766,-0.5738,-0.8565,-1.0414,-1.0871,-1.0871,-1.121,-1.2426,-1.3909,-1.5076,-1.5721,-1.5869
Px_s394,-7.788,0.1413,-0.1866,0,0.0094,0.0453,0.0921,0.1286,0.147,0.1508,0.1508,0.1543,0.1659,0.1769,0.1822,0.1831,0.183
Py_s394,-5.7048,-0.1631,-0.1797,0,-0.0003,-0.0064,-0.0276,-0.0593,-0.0848,-0.0916,-0.0916,-0.0986,-0.127,-0.1713,-0.2177,-0.2503,-0.2587
Pz_s394,-1.7432,0.2083,0.1513,0,0.0002,0.0045,0.0198,0.043,0.062,0.0672,0.0672,0.0723,0.0925,0.1211,0.1479,0.1648,0.1689
EulX_s395,0,-0.0395,0.0138,-0,0.0001,0.0021,0.0085,0.0163,0.021,0.022,0.022,0.0255,0.0395,0.0605,0.0814,0.0954,0.099
EulY_s395,0,0.0237,-0.0539,0,-0.0109,-0.0514,-0.1023,-0.1407,-0.1585,-0.1619,-0.1619,-0.1737,-0.2219,-0.2972,-0.3773,-0.4342,-0.449
EulZ_s395,0,0.0385,-0.0226,-0,0.0176,0.0822,0.1653,0.2354,0.2761,0.2855,0.2855,0.2832,0.2724,0.2531,0.2307,0.2142,0.2099
Px_s395,-4.7407,-0.2047,0.2677,0,0.0094,0.0461,0.0993,0.1517,0.1868,0.1957,0.1957,0.2046,0.2393,0.2895,0.3389,0.3718,0.3801
Py_s395,3.2193,-0.0029,0.0909,0,0.0001,0.0019,0.0086,0.0193,0.0285,0.0311,0.0311,0.0337,0.0436,0.0569,0.0685,0.0753,0.0769
Pz_s395,-7.9623,0.2193,0.1005,0,0.0001,0.0012,0.0054,0.012,0.0175,0.019,0.019,0.0205,0.0278,0.0418,0.0599,0.0748,0.0788
EulX_s396,0,-0.0357,0.0241,-0,0.0003,0.0071,0.0354,0.0977,0.1746,0.201,0.201,0.2227,0.3259,0.5571,0.9477,1.3072,1.4016
EulY_s396,0,-0.0379,-0.0458,0,-0.0668,-0.3154,-0.6398,-0.9141,-1.0702,-1.1057,-1.1057,-1.131,-1.2225,-1.3323,-1.4053,-1.4287,-1.4312
EulZ_s396,0,0.0298,-0.0303,-0,0.0089,0.0454,0.112,0.2119,0.3164,0.3503,0.3503,0.367,0.4495,0.6482,1.0046,1.3407,1.4291
Px_s396,2.6397,-0.1806,-0.2982,0,0.0094,0.0454,0.0927,0.1304,0.1497,0.1538,0.1538,0.1577,0.1706,0.1839,0.1912,0.1934,0.1937
Py_s396,7.6864,-0.1304,0.0059,0,0,0.001,0.0046,0.0107,0.0161,0.0177,0.0177,0.0192,0.0248,0.0314,0.0359,0.0377,0.038
Pz_s396,5.4943,0.2009,0.032,0,0.0003,0.0073,0.0322,0.07,0.1007,0.109,0.109,0.1174,0.1513,0.2031,0.2562,0.2929,0.3022
